,date_x,week_date,model_category,weekday_visits,date_y,weekend_visits,total_visits,base_rate,multiplier
245,2020-12-09,2020-12-07,education,3085,2020-12-13,1566,9278.5,75050.5,0.12363008907335728
246,2020-12-09,2020-12-07,office,898,2020-12-13,411,2656.0,7583.0,0.3502571541606224
247,2020-12-09,2020-12-07,retail,13311,2020-12-13,9364,42641.5,104534.0,0.40791991122505594
248,2020-12-09,2020-12-07,social,10474,2020-12-13,8575,34760.0,111885.5,0.3106747523137493
249,2020-12-09,2020-12-07,supermarket,1930,2020-12-13,1941,6766.0,17606.0,0.3843008065432239
250,2020-12-16,2020-12-14,education,3126,2020-12-20,2008,9823.0,75050.5,0.13088520396266515
251,2020-12-16,2020-12-14,office,949,2020-12-20,495,2867.5,7583.0,0.3781484900435184
252,2020-12-16,2020-12-14,retail,13757,2020-12-20,11585,45977.5,104534.0,0.4398329730039987
253,2020-12-16,2020-12-14,social,11060,2020-12-20,10252,37902.0,111885.5,0.33875703285948583
254,2020-12-16,2020-12-14,supermarket,2036,2020-12-20,2184,7274.0,17606.0,0.4131546063841872
255,2020-12-23,2020-12-21,education,2222,2020-12-27,1694,7249.0,75050.5,0.09658829721320977
256,2020-12-23,2020-12-21,office,932,2020-12-27,443,2773.0,7583.0,0.36568640379796913
257,2020-12-23,2020-12-21,retail,15474,2020-12-27,9832,48517.0,104534.0,0.4641265042952532
258,2020-12-23,2020-12-21,social,12627,2020-12-27,9357,40924.5,111885.5,0.3657712572227858
259,2020-12-23,2020-12-21,supermarket,2772,2020-12-27,1760,8690.0,17606.0,0.4935817334999432
260,2020-12-30,2020-12-28,education,2376,2021-01-03,1835,7775.0,75050.5,0.10359691141298193
261,2020-12-30,2020-12-28,office,887,2021-01-03,434,2651.5,7583.0,0.34966372148226293
262,2020-12-30,2020-12-28,retail,13720,2021-01-03,9543,43843.0,104534.0,0.4194137792488568
263,2020-12-30,2020-12-28,social,11991,2021-01-03,9126,39103.5,111885.5,0.34949568979000856
264,2020-12-30,2020-12-28,supermarket,2508,2021-01-03,1930,8200.0,17606.0,0.46575031239350223
265,2021-01-06,2021-01-04,education,3175,2021-01-10,1800,9737.5,75050.5,0.12974597104616226
266,2021-01-06,2021-01-04,office,908,2021-01-10,435,2705.0,7583.0,0.35671897665831465
267,2021-01-06,2021-01-04,retail,12796,2021-01-10,9946,41936.0,104534.0,0.40117091089980295
268,2021-01-06,2021-01-04,social,10849,2021-01-10,9460,36582.5,111885.5,0.32696372630948606
269,2021-01-06,2021-01-04,supermarket,2104,2021-01-10,1974,7234.0,17606.0,0.4108826536408043
